reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
386f5717-5143-4b14-9842-3e10b0273495,Kristel Hayes,https://play-lh.googleusercontent.com/a/ACg8ocI8nfp1RwDEWBrN6H5QCpjQx6Qfsss8oHXrdzmQdiBQFLPJHA=mo,"I keep getting connected to drivers who arrive at the correct pickup spot, but wrong SIDE of the pickup spot . I try messaging & calling them to explain my exact location, but they don't understand due to language barriers. Then they cancel. One example: Middle of the night in the RAIN, I had THREE drivers in a row cancel after they arrived. It should not have taken me almost an hour to travel FIVE minutes away. Uber is trash, I'm uninstalling & sticking with Lyft from now on.",1,79,4.556.10005,2024-12-17 04:09:52,,,4.556.10005
e9f30828-5d73-4493-80a3-822490a6d69e,Sharon Shircliff,https://play-lh.googleusercontent.com/a/ACg8ocIBBIJ9mqGurqUZg6SfC0pxePmR3m0uOTPI28wL3xsRF_JGqA=mo,"Problem persists. 😡 The app keeps sending the driver to the wrong location on trips to my home. It wants the driver to drop me off in a neighborhood behind my home. There is a fence back there! I cannot reach my home from that neighborhood without walking a long long way. Unacceptible! The last time I took a ride from my home, the driver was sent to a pick-up spot a half-mile from my home! When I tried to edit the WRONG site, I couldn't because it was outside the pick-up area! UNACCEPTIBLE!",2,63,4.556.10005,2024-12-20 01:13:41,,,4.556.10005
abd92f21-b743-4b7c-83b4-ea58799b1500,Michelle Jones,https://play-lh.googleusercontent.com/a/ACg8ocL8fslHz6X4ePNTX8GJtVuaZNA6EGf2Z8luZUmm5YQMk-2WRg=mo,Update. Uber App consistently is unstable. A reinstall does not fix this. The screens black out and reset after each step in the request a ride features. Additionally...I have noticed a pattern of this correlating to price changes to higher amount when attempting in same session. I no longer feel it's a good choice to only use Uber for rides. It seems best for those who do not own a vehicle to use multiple services.. Lyft and whichever other companies are available in your area.,2,152,4.556.10005,2024-12-20 16:20:52,,,4.556.10005
3a74fc9f-eba4-4981-8d89-97728a7cf1d6,Audi Burr,https://play-lh.googleusercontent.com/a-/ALV-UjUy5siX6elZaXaV1mEpp2ZqgzpkV0MGSZ1RUZKYzshNiQsLT8dw,"I've ordered front Uber Eats a few times, and until now, I've had no issue. Tonight was totally different. My order was missing both drinks. Customer service in this situation is/was virtually nonexistent - difficult to find, incomplete. Driver was rude when contacted about the missing items. For what i paid, I expected much better service. My advice is pay close attention to what is going on. Don't let the driver leave without checking the order first.",1,80,4.555.10003,2024-12-07 04:11:34,,,4.555.10003
1f4bf0bb-0c7c-430d-8933-f247bcdf8e63,Russ Beasley,https://play-lh.googleusercontent.com/a/ACg8ocKlJ1klLXl6WlBTqE8ncaEVRYaz0Yiv8d5JLC3Zu0Z5obZ0tw=mo,"Go to lyft. Much more reliable. This app will constantly allow drivers to cancel or sit in parking lots waiting for you to cancel and then charge you a fee bf it was within a certain time frame. They have no humans to communicate with. Only a select choice of prompts to complain about. If your city has taxis use those, if not lyft. Do not use uber",1,87,4.555.10003,2024-12-07 02:14:27,,,4.555.10003
6eb83a49-9bf1-471a-880c-dd2eca744ba2,Len J,https://play-lh.googleusercontent.com/a/ACg8ocKDSbIj2mZ47oxqjK7N6JdxlSjU7ShQxwA_zvC-9SgVSehf4Q=mo,"The location system the app uses is inaccurate. The driver was waiting for me on the road behind my house. On the return trip, the driver wanted to leave me off on the street behind my house. For an app and service that have been around as long as they have, this is pathetic. Google GPS is accurate, I don't see why this app can't be..",1,36,4.556.10005,2024-12-18 17:19:35,,,4.556.10005
ac26f541-eb40-46b3-ad7a-960c0324521f,Mekko Amazing,https://play-lh.googleusercontent.com/a/ACg8ocKFU2DqyQBTi0KazgRjkelvP4MJZKNAaIbuZK-yperWKpCkyg=mo,"I don't like the cancelation fee to be honest. The fact I paid extra for priority pick up it said 6 minutes I waited 8,I know it's only 2 minutes but that's false advertising and no it wasn't the drivers fault yall just took extra change from me for nothing 😒. The price hikes are ridiculous some days which causes me to deny the service all together if I can't afford it but other then that it's a really nice app most people (drivers) are nice and personable most importantly reliable 💯",4,29,4.556.10005,2024-12-18 03:07:51,,,4.556.10005
11c07213-c168-4cfe-8b4f-c7f5a4332b03,Joe Fetting,https://play-lh.googleusercontent.com/a/ACg8ocL4R20a-b45PulaOXg-GMI1D91MXpjC7zrvVPvz7GDa3dAGdA=mo,"I have been trying to cancel my Uber One membership for a week. When you try to cancel, it continues to direct you to pausing your membership. Then, after jumping through those hoops, it makes you contact a representative for 'help' to cancel. 5 days later, I finally hear back from a 'representative' only to be asked if I would like to pause my membership for 1 month or 2....I WANT TO CANCEL!! This issue is still unresolved, and it feels like a very slimey tactic to keep me paying.",1,31,4.548.10001,2024-12-07 22:32:27,,,4.548.10001
6d769eb8-cb3f-49d4-9adc-71ed43a2b377,Lily Ryan,https://play-lh.googleusercontent.com/a-/ALV-UjWAgAzLjkHRRuPCTXVFB_FlAItIWJs4UG6Kt2ymxfv_72er7Dc6,"Wait times and estimates are always incredibly off and unreliable even if you order an hour ahead. Uber one wont save you more than 7$ a month on rides, that barely pays for a ride down the street and you're spending about 10$ for that monthly subscription. Its a scam. Drivers are majority very rude, but that could just be my area. There have been times when I've needed to dispute a charge and they wont let me. Absolutely terrible hate it :).",1,25,4.555.10003,2024-12-10 21:36:10,,,4.555.10003
204b35e4-e978-4a65-bfb6-f0a6f522e1b6,Gary Weaver,https://play-lh.googleusercontent.com/a-/ALV-UjWEvpjurQO1Udk0iSOE793rw_IN9Xxkz0SqwMSDbTjZnHwH8v4N,"Difficult to change my home and work addresses. I would change them repeatedly, save the change if that was an option on the screen, then go to the previous screen again and find out that my home or work addresses had reverted to their previous settings. Tried multiple times, tried exiting and restarting the app, didn't seem to make any difference. Mildly annoying. Other settings such as checking my reserved ride were a little challenging to find, but that may change as I use the app more. 4",3,153,4.553.10000,2024-11-25 20:15:38,,,4.553.10000
